code,type,count,description,Group,Larger group
V5883,Diagnosis,7146,Encounter for therapeutic drug monitoring,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71590,Diagnosis,6980,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7242,Diagnosis,6889,Lumbago,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7295,Diagnosis,6520,Pain in limb,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
486,Diagnosis,6242,"Pneumonia, organism unspecified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
2722,Diagnosis,6205,Mixed hyperlipidemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V4581,Diagnosis,6083,Aortocoronary bypass status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
5849,Diagnosis,5605,"Acute kidney failure, unspecified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
7802,Diagnosis,5589,Syncope and collapse,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
412,Diagnosis,5437,Old myocardial infarction,Diseases Of The Circulatory System,Diseases Of The Circulatory System
78900,Diagnosis,5435,"Abdominal pain, unspecified site","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
40390,Diagnosis,5427,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
5856,Diagnosis,5384,End stage renal disease,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
2948,Diagnosis,5182,Other persistent mental disorders due to conditions classified elsewhere,Mental Disorders,Mental Disorders
V5866,Diagnosis,5162,Long-term (current) use of aspirin,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V7612,Diagnosis,5100,Other screening mammogram,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
30000,Diagnosis,4984,"Anxiety state, unspecified",Mental Disorders,Mental Disorders
78659,Diagnosis,4903,Other chest pain,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
49390,Diagnosis,4817,"Asthma,unspecified type, unspecified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
27651,Diagnosis,4776,Dehydration,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7862,Diagnosis,4741,Cough,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
42789,Diagnosis,4727,Other specified cardiac dysrhythmias,Diseases Of The Circulatory System,Diseases Of The Circulatory System
7245,Diagnosis,4699,"Backache, unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4439,Diagnosis,4688,"Peripheral vascular disease, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
2768,Diagnosis,4673,Hypopotassemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7823,Diagnosis,4644,Edema,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
7812,Diagnosis,4616,Abnormality of gait,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V1254,Diagnosis,4523,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
56210,Diagnosis,4499,Diverticulosis of colon (without mention of hemorrhage),Diseases Of The Digestive System,Diseases Of The Digestive System
V1582,Diagnosis,4434,Personal history of tobacco use,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
60000,Diagnosis,4344,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
2761,Diagnosis,4307,Hyposmolality and/or hyponatremia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
5853,Diagnosis,4251,"Chronic kidney disease, Stage III (moderate)",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
72887,Diagnosis,4249,Muscle weakness (generalized),Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V4582,Diagnosis,4148,Percutaneous transluminal coronary angioplasty status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7804,Diagnosis,3974,Dizziness and giddiness,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
27800,Diagnosis,3920,"Obesity, unspecified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V103,Diagnosis,3915,Personal history of malignant neoplasm of breast,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
78609,Diagnosis,3827,Other respiratory abnormalities,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
49121,Diagnosis,3790,Obstructive chronic bronchitis with (acute) exacerbation,Diseases Of The Respiratory System,Diseases Of The Respiratory System
5939,Diagnosis,3761,Unspecified disorder of kidney and ureter,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
71946,Diagnosis,3703,"Pain in joint, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V7644,Diagnosis,3635,Screening for malignant neoplasms of prostate,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
185,Diagnosis,3617,Malignant neoplasm of prostate,Neoplasms,Neoplasms
V4501,Diagnosis,3611,Cardiac pacemaker in situ,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2721,Diagnosis,3562,Pure hyperglyceridemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7840,Diagnosis,3545,Headache,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
71941,Diagnosis,3510,"Pain in joint, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V5867,Diagnosis,3510,Long-term (current) use of insulin,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
40391,Diagnosis,3476,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",Diseases Of The Circulatory System,Diseases Of The Circulatory System
56400,Diagnosis,3461,"Constipation, unspecified",Diseases Of The Digestive System,Diseases Of The Digestive System
3310,Diagnosis,3446,Alzheimer's disease,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V571,Diagnosis,3423,Care involving other physical therapy,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71690,Diagnosis,3416,"Arthropathy, unspecified, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
79029,Diagnosis,3415,Other abnormal glucose,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V0481,Diagnosis,3415,Need for prophylactic vaccination and inoculation against influenza,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
78791,Diagnosis,3377,Diarrhea,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
73390,Diagnosis,3376,"Disorder of bone and cartilage, unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7197,Diagnosis,3191,Difficulty in walking,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
5533,Diagnosis,3146,Diaphragmatic hernia without mention of obstruction or gangrene,Diseases Of The Digestive System,Diseases Of The Digestive System
25002,Diagnosis,3085,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V1046,Diagnosis,3050,Personal history of malignant neoplasm of prostate,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2723,Diagnosis,3030,Hyperchylomicronemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
78701,Diagnosis,3019,Nausea with vomiting,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
7140,Diagnosis,3012,Rheumatoid arthritis,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4254,Diagnosis,3003,Other primary cardiomyopathies,Diseases Of The Circulatory System,Diseases Of The Circulatory System
71945,Diagnosis,3000,"Pain in joint, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
5854,Diagnosis,2977,"Chronic kidney disease, Stage IV (severe)",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
V5789,Diagnosis,2976,Care involving other specified rehabilitation procedure,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7231,Diagnosis,2969,Cervicalgia,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
3320,Diagnosis,2951,Paralysis agitans,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V420,Diagnosis,2858,Kidney replaced by transplant,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7291,Diagnosis,2793,"Myalgia and myositis, unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V4365,Diagnosis,2776,Knee joint replacement,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
42781,Diagnosis,2769,Sinoatrial node dysfunction,Diseases Of The Circulatory System,Diseases Of The Circulatory System
51889,Diagnosis,2765,"Other diseases of lung, not elsewhere classified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
42732,Diagnosis,2765,Atrial flutter,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V4589,Diagnosis,2724,Other postprocedural status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
4279,Diagnosis,2714,"Cardiac dysrhythmia, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
78720,Diagnosis,2672,"Dysphagia, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V7283,Diagnosis,2668,Other specified pre-operative examination,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
4240,Diagnosis,2628,Mitral valve disorders,Diseases Of The Circulatory System,Diseases Of The Circulatory System
7851,Diagnosis,2614,Palpitations,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V1251,Diagnosis,2598,Personal history of venous thrombosis and embolism,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
51881,Diagnosis,2574,Acute respiratory failure,Diseases Of The Respiratory System,Diseases Of The Respiratory System
1629,Diagnosis,2541,"Malignant neoplasm of bronchus and lung, unspecified",Neoplasms,Neoplasms
5119,Diagnosis,2504,Unspecified pleural effusion,Diseases Of The Respiratory System,Diseases Of The Respiratory System
78651,Diagnosis,2492,Precordial pain,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
2749,Diagnosis,2487,"Gout, unspecified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
33829,Diagnosis,2479,Other chronic pain,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
4271,Diagnosis,2461,Paroxysmal ventricular tachycardia,Diseases Of The Circulatory System,Diseases Of The Circulatory System
78039,Diagnosis,2438,Other convulsions,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
7213,Diagnosis,2410,Lumbosacral spondylosis without myelopathy,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
72252,Diagnosis,2398,Degeneration of lumbar or lumbosacral intervertebral disc,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
25001,Diagnosis,2391,DMI wo cmp nt st uncntr,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7906,Diagnosis,2350,Other abnormal blood chemistry,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
2689,Diagnosis,2347,Unspecified vitamin D deficiency,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7850,Diagnosis,2339,"Tachycardia, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4241,Diagnosis,2308,Aortic valve disorders,Diseases Of The Circulatory System,Diseases Of The Circulatory System
2767,Diagnosis,2294,Hyperpotassemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V4511,Diagnosis,2284,Renal dialysis status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
78702,Diagnosis,2275,Nausea alone,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
0389,Diagnosis,2260,Unspecified septicemia,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
43310,Diagnosis,2260,Occlusion and stenosis of carotid artery without mention of cerebral infarction,Diseases Of The Circulatory System,Diseases Of The Circulatory System
32723,Diagnosis,2242,Obstructive sleep apnea (adult)(pediatric),Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
79021,Diagnosis,2241,Impaired fasting glucose,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
71536,Diagnosis,2240,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
72402,Diagnosis,2232,"Spinal stenosis, lumbar region, without neurogenic claudication",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
E8889,Diagnosis,2206,Unspecified fall,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
2851,Diagnosis,2197,Acute posthemorrhagic anemia,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
34590,Diagnosis,2177,"Epilepsy, unspecified, without mention of intractable epilepsy",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
4139,Diagnosis,2177,Other and unspecified angina pectoris,Diseases Of The Circulatory System,Diseases Of The Circulatory System
27801,Diagnosis,2155,Morbid obesity,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
E8859,Diagnosis,2103,"Fall from other slipping, trippng, or stumbling",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
78097,Diagnosis,2094,Altered mental status,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V433,Diagnosis,2093,Heart valve replaced by other means,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71596,Diagnosis,2089,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
43491,Diagnosis,2077,"Cerebral artery occlusion, unspecified with cerebral infarction",Diseases Of The Circulatory System,Diseases Of The Circulatory System
78060,Diagnosis,2074,"Fever, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4148,Diagnosis,2029,Other specified forms of chronic ischemic heart disease,Diseases Of The Circulatory System,Diseases Of The Circulatory System
42769,Diagnosis,2019,Other premature beats,Diseases Of The Circulatory System,Diseases Of The Circulatory System
7813,Diagnosis,2014,Lack of coordination,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
29410,Diagnosis,1999,Dementia in conditions classified elsewhere without behavioral disturbance,Mental Disorders,Mental Disorders
7244,Diagnosis,1989,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
79431,Diagnosis,1954,Nonspecific abnormal electrocardiogram [ECG] [EKG],"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
78321,Diagnosis,1937,Loss of weight,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
6826,Diagnosis,1933,"Cellulitis and abscess of leg, except foot",Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
1749,Diagnosis,1927,"Malignant neoplasm of breast (female), unspecified",Neoplasms,Neoplasms
5789,Diagnosis,1926,"Hemorrhage of gastrointestinal tract, unspecified",Diseases Of The Digestive System,Diseases Of The Digestive System
4168,Diagnosis,1908,Other chronic pulmonary heart diseases,Diseases Of The Circulatory System,Diseases Of The Circulatory System
4550,Diagnosis,1908,Internal hemorrhoids without mention of complication,Diseases Of The Circulatory System,Diseases Of The Circulatory System
3004,Diagnosis,1908,Dysthymic disorder,Mental Disorders,Mental Disorders
4928,Diagnosis,1863,Other emphysema,Diseases Of The Respiratory System,Diseases Of The Respiratory System
4589,Diagnosis,1853,"Hypotension, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
4293,Diagnosis,1845,Cardiomegaly,Diseases Of The Circulatory System,Diseases Of The Circulatory System
78909,Diagnosis,1841,"Abdominal pain, other specified site","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
29680,Diagnosis,1817,"Bipolar disorder, unspecified",Mental Disorders,Mental Disorders
V4364,Diagnosis,1804,Hip joint replacement,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
72981,Diagnosis,1804,Swelling of limb,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4270,Diagnosis,1798,Paroxysmal supraventricular tachycardia,Diseases Of The Circulatory System,Diseases Of The Circulatory System
25060,Diagnosis,1790,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
4111,Diagnosis,1747,Intermediate coronary syndrome,Diseases Of The Circulatory System,Diseases Of The Circulatory System
42761,Diagnosis,1743,Supraventricular premature beats,Diseases Of The Circulatory System,Diseases Of The Circulatory System
2875,Diagnosis,1702,"Thrombocytopenia, unspecified",Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
2113,Diagnosis,1698,Benign neoplasm of colon,Neoplasms,Neoplasms
5180,Diagnosis,1693,Pulmonary collapse,Diseases Of The Respiratory System,Diseases Of The Respiratory System
V5811,Diagnosis,1680,Encounter for antineoplastic chemotherapy,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7915,Diagnosis,1668,Glycosuria,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V7284,Diagnosis,1658,"Pre-operative examination, unspecified",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V5863,Diagnosis,1647,Long-term (current) use of antiplatelet/antithrombotic,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V1272,Diagnosis,1631,Personal history of colonic polyps,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2639,Diagnosis,1619,Unspecified protein-calorie malnutrition,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7820,Diagnosis,1603,Disturbance of skin sensation,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4660,Diagnosis,1594,Acute bronchitis,Diseases Of The Respiratory System,Diseases Of The Respiratory System
2762,Diagnosis,1590,Acidosis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
3572,Diagnosis,1584,Polyneuropathy in diabetes,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
45981,Diagnosis,1582,"Venous (peripheral) insufficiency, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
79022,Diagnosis,1564,Impaired glucose tolerance test (oral),"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
78820,Diagnosis,1550,"Retention of urine, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
3569,Diagnosis,1546,Unspecified hereditary and idiopathic peripheral neuropathy,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
41519,Diagnosis,1530,Other pulmonary embolism and infarction,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V1005,Diagnosis,1527,Personal history of malignant neoplasm of large intestine,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
25040,Diagnosis,1527,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
4359,Diagnosis,1526,Unspecified transient cerebral ischemia,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V7281,Diagnosis,1519,Pre-operative cardiovascular examination,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V4585,Diagnosis,1516,Insulin pump status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
24900,Diagnosis,1515,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
70715,Diagnosis,1505,Ulcer of other part of foot,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
4414,Diagnosis,1505,Abdominal aneurysm without mention of rupture,Diseases Of The Circulatory System,Diseases Of The Circulatory System
5589,Diagnosis,1495,Other and unspecified noninfectious gastroenteritis and colitis,Diseases Of The Digestive System,Diseases Of The Digestive System
340,Diagnosis,1493,Multiple sclerosis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
4149,Diagnosis,1490,"Chronic ischemic heart disease, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
515,Diagnosis,1486,Postinflammatory pulmonary fibrosis,Diseases Of The Respiratory System,Diseases Of The Respiratory System
78071,Diagnosis,1469,Chronic fatigue syndrome,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
78906,Diagnosis,1469,"Abdominal pain, epigastric","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V140,Diagnosis,1465,Personal history of allergy to penicillin,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7916,Diagnosis,1460,Acetonuria,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
78057,Diagnosis,1459,Unspecified sleep apnea,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
2989,Diagnosis,1458,Unspecified psychosis,Mental Disorders,Mental Disorders
1985,Diagnosis,1451,Secondary malignant neoplasm of bone and bone marrow,Neoplasms,Neoplasms
4272,Diagnosis,1445,"Paroxysmal tachycardia, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
78052,Diagnosis,1444,"Insomnia, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
59970,Diagnosis,1439,"Hematuria, unspecified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
42760,Diagnosis,1436,"Premature beats, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
V726,Diagnosis,1430,Laboratory examination,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
79902,Diagnosis,1400,Hypoxemia,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
28529,Diagnosis,1394,Anemia of other chronic disease,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
V6546,Diagnosis,1393,Encounter for insulin pump training,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
25080,Diagnosis,1391,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
41071,Diagnosis,1389,"Subendocardial infarction, initial episode of care",Diseases Of The Circulatory System,Diseases Of The Circulatory System
45340,Diagnosis,1370,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V5391,Diagnosis,1366,Fitting and adjustment of insulin pump,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
72210,Diagnosis,1364,Displacement of lumbar intervertebral disc without myelopathy,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
